year,temperature,actual_champion,actual_champion_prob,predicted_champion,predicted_champion_prob,top4_mass,top8_mass,top_pick_hit,multiclass_brier,champion_log_loss
2011,3.0,Connecticut,0.3406666666666667,Connecticut,0.3406666666666667,0.7486666666666666,0.8453333333333333,1,0.5192686666666666,1.076850796886597
2012,3.0,Kentucky,0.32266666666666666,Kentucky,0.32266666666666666,0.5336666666666666,0.687,1,0.48513088888888883,1.1311354803736697
2013,3.0,Louisville,0.245,Louisville,0.245,0.4836666666666667,0.659,1,0.6021562222222221,1.40649706843741
2014,3.0,Connecticut,0.11333333333333333,Arizona,0.13866666666666666,0.43433333333333335,0.5983333333333334,0,0.8354144444444447,2.17742195004004
2015,3.0,Duke,0.4093333333333333,Duke,0.4093333333333333,0.7393333333333334,0.8650000000000001,1,0.4123864444444444,0.893225458943159
2016,3.0,Villanova,0.26,Villanova,0.26,0.536,0.7056666666666667,1,0.5858857777777777,1.3470736479666092
2017,3.0,North Carolina,0.23666666666666666,North Carolina,0.23666666666666666,0.49466666666666664,0.6413333333333333,1,0.6180284444444443,1.4411025976148857
2018,3.0,Villanova,0.422,Villanova,0.422,0.5666666666666667,0.6643333333333333,1,0.3477173333333334,0.8627499649461253
2019,3.0,Virginia,0.36533333333333334,Virginia,0.36533333333333334,0.587,0.747,1,0.43205711111111117,1.0069451001422858
2021,3.0,Baylor,0.475,Baylor,0.475,0.6603333333333333,0.808,1,0.29519,0.7444404749474959
2022,3.0,Kansas,0.14266666666666666,Kansas,0.14266666666666666,0.32466666666666666,0.5023333333333333,1,0.7637104444444441,1.94724437206845
2023,3.0,Connecticut,0.09366666666666666,Alabama,0.11333333333333333,0.356,0.5733333333333334,0,0.8637157777777779,2.368012898316501
2024,3.0,Connecticut,0.49966666666666665,Connecticut,0.49966666666666665,0.6916666666666667,0.7856666666666666,1,0.2710237777777778,0.6938140695476491
2025,3.0,Florida,0.4136666666666667,Florida,0.4136666666666667,0.6716666666666667,0.8470000000000001,1,0.37664977777777775,0.8826947824456395
