team,Seas_Opp_Fouls
NJIT,15.1
Richmond,15.0
Princeton,15.0
Georgetown,15.0
Providence,15.0
St Bonaventure,14.9
Virginia Tech,14.9
Vermont,14.9
Towson,14.8
Miss Valley St,14.8
Marist,14.8
UTSA,14.8
Austin Peay,14.7
W Carolina,14.7
Marquette,14.7
New Hampshire,14.7
Hou Christian,14.7
DePaul,14.6
Tenn Tech,14.6
N Florida,14.6
Liberty,14.6
St Francis PA,14.5
Wagner,14.5
Kansas,14.4
Chicago St,14.4
West Virginia,14.4
W Illinois,14.4
Miami,14.4
Brown,14.3
UT Rio Grande,14.3
Drexel,14.2
Maine,14.2
Cincinnati,14.1
Holy Cross,13.9
Harvard,13.8
Virginia,13.7
Merrimack,13.6
FGCU,13.5
C Connecticut,13.4
Colgate,13.3
Canisius,12.5
