team_rank,team,seed,team_strength_score,AdjEM,AdjO,AdjD,adjem_rank,adjo_rank,adjd_rank,meta_points,meta_finish,meta_round_of_64,meta_round_of_32,meta_sweet_sixteen,meta_elite_eight,meta_semifinal,meta_championship,Seas_PPG,Seas_Off_Rebound_Per,Seas_Turnovers,Seas_3PT_Per
51,Cal Baptist,13,21.619965344124807,5.99,107.9,101.9,52,60,36,0.6269682283106627,1.1966106256004423,0.16927523682183562,0.016148282,0.0017912306649454758,0.0022795843,0.02010953,0.00013806755483727103,73.0,0.36,12.4,0.337
52,Miami OH,11,20.41998826216588,8.26,116.8,108.5,51,46,56,0.5941757063045923,1.1245616299565881,0.1828967718006178,0.011388236,0.0038947734555322983,0.008861445,0.005133736,5.212644960261945e-06,87.2,0.23,10.5,0.375
53,Hawaii,13,18.779197915005824,5.97,107.1,101.2,53,63,31,0.308104250079679,1.1122614772757515,0.05508780758194476,0.0074295574,0.00208479685689667,0.0012128298,0.008521091,4.838684027217019e-06,78.7,0.291,13.8,0.316
54,N Dakota St,14,17.876932993400928,5.13,111.7,106.6,54,53,54,0.3425382951738016,1.136475115083158,0.06902445809792095,0.01690377,0.01221255201074727,0.009342297,0.0067566824,2.160012551020761e-05,79.1,0.32,10.8,0.357
55,Troy,13,14.351356549950758,1.72,110.7,109.0,56,54,58,0.2408120670959301,1.0921814043540508,0.033395164681243754,0.013167897,0.0032193429181882286,0.0047110547,0.0017972044,1.4517709849079482e-05,78.3,0.33,11.9,0.332
56,Wright St,14,13.262974969812236,2.04,112.1,110.0,55,52,63,0.19111801351287588,1.0785547506529838,0.028134438482635984,0.02300756,0.00517261143330935,0.014258934,0.0025169405,6.813354889502883e-05,80.0,0.312,11.3,0.361
57,Pennsylvania,14,12.09854088279138,1.47,107.4,105.9,58,62,50,0.1943593881006697,1.0618484394508414,0.06290175969763287,0.02182146,0.004988574933873862,0.01003983,0.0028507567,7.797479455531673e-06,74.6,0.286,10.7,0.387
58,Queens,15,11.567595515703413,-1.44,115.8,117.2,60,48,68,0.13298720660812327,1.1124932097736746,0.01631829445230939,0.017595692,0.008159855909672024,0.026952172,0.0067087137,1.4815319217194017e-05,84.8,0.286,10.6,0.359
59,Tennessee St,15,10.355587544051346,-1.83,109.1,110.9,62,57,65,0.18435146753189396,1.1320054702227935,0.027707502065645987,0.01758703,0.00725827975837273,0.004754645,0.003887587,4.8783262151322226e-05,78.1,0.3229999999999999,11.7,0.337
60,Idaho,15,9.706094552857753,1.53,108.8,107.3,57,58,55,0.08989326595396054,1.0404973356053233,0.011864346249605452,0.009719297,0.002517401808155606,0.0041500633,0.0018826813,5.285973843224183e-06,76.7,0.255,10.4,0.345
61,Kennesaw St.,14,8.622204101598431,0.57,110.6,110.1,59,55,64,0.1054695938532725,1.0400439279910643,0.012018301606337054,0.0040945685,0.004920480746135583,0.0021291077,0.00064795563,2.6283708727338366e-06,80.5,0.336,12.1,0.337
62,UMBC,16,8.56050447525331,-1.67,108.2,109.9,61,59,62,0.1047964190930948,1.079081094590947,0.012482894431512731,0.020017875,0.00735979343240076,0.007299118,0.010428318,1.5885696386584524e-05,75.4,0.228,9.4,0.359
63,Furman,15,8.158889257176801,-1.98,107.5,109.4,63,61,60,0.07372927634948283,1.147594810812734,0.00674679107652323,0.014956054,0.0023087608305631235,0.002400407,0.0016262061,9.251338950329496e-06,75.1,0.295,12.0,0.3329999999999999
64,Long Island Brooklyn,16,6.846925945017078,-3.95,105.6,109.6,66,65,61,0.14153333334223842,1.110574587190058,0.025807631406258448,0.01157961,0.0011359763129171036,0.0041436492,0.009255146,0.00011405434049723862,74.1,0.337,13.0,0.361
65,Siena,16,6.289693105168277,-2.1,107.1,109.2,64,63,59,0.0985156060113377,1.064130486745853,0.009883417067339011,0.010568399,0.008020488682353392,0.0038804824,0.0017926755,5.13830768515768e-06,70.5,0.303,10.3,0.304
66,Howard,16,5.397167902142986,-3.19,103.1,106.3,65,66,53,0.07792503189080487,1.0495996878598817,0.006033191245781531,0.023018979,0.004416235549418585,0.0015423732,0.0013920479,2.9676075767268992e-06,75.0,0.3339999999999999,13.8,0.347
67,Lehigh,16,2.8295524212551255,-10.37,102.7,113.1,67,67,67,0.038557828008381645,1.098350202315487,0.004803215956485267,0.01225732,0.0040490909607378755,0.015792497,0.01645708,4.199365908370292e-05,72.4,0.208,12.0,0.365
68,Prairie View,16,1.098145613600281,-10.69,101.2,111.9,68,68,66,0.023671747000283898,1.0542779408860952,0.002007573147591966,0.011569203,0.021397627719416928,0.0018339605,0.0030094534,1.379404929984009e-05,75.7,0.244,11.7,0.332
