round_index,round_name,game_number,team_left,left_seed,team_right,right_seed,left_win_probability,right_win_probability,picked_winner,favorite_team,favorite_seed,favorite_win_probability,underdog_team,underdog_seed,underdog_win_probability,seed_gap,upset_level,upset_flag
1,round_of_64,2,Connecticut,8,Oklahoma,9,0.6186936577648333,0.3813063422351667,Connecticut,Connecticut,8,0.6186936577648333,Oklahoma,9,0.3813063422351667,1,live,True
1,round_of_64,3,Memphis,5,Colorado St,12,0.16913740007988626,0.8308625999201138,Colorado St,Memphis,5,0.16913740007988626,Colorado St,12,0.8308625999201138,7,strong,True
1,round_of_64,4,Maryland,4,Grd Canyon,13,0.9818845881898522,0.018115411810147752,Maryland,Maryland,4,0.9818845881898522,Grd Canyon,13,0.018115411810147752,9,,False
1,round_of_64,5,Missouri,6,Drake,11,0.41373330116233925,0.5862666988376608,Drake,Missouri,6,0.41373330116233925,Drake,11,0.5862666988376608,5,strong,True
1,round_of_64,6,Texas Tech,3,UNC Wilmington,14,0.9931778042648992,0.006822195735100789,Texas Tech,Texas Tech,3,0.9931778042648992,UNC Wilmington,14,0.006822195735100789,11,,False
1,round_of_64,7,Kansas,7,Arkansas,10,0.42816916943412625,0.5718308305658737,Arkansas,Kansas,7,0.42816916943412625,Arkansas,10,0.5718308305658737,3,strong,True
1,round_of_64,8,St Johns,2,Omaha,15,0.9805986187067528,0.0194013812932472,St Johns,St Johns,2,0.9805986187067528,Omaha,15,0.0194013812932472,13,,False
2,round_of_32,1,Florida,1,Connecticut,8,0.9980341124516096,0.0019658875483904437,Florida,Florida,1,0.9980341124516096,Connecticut,8,0.0019658875483904437,7,,False
2,round_of_32,2,Colorado St,12,Maryland,4,0.2637633724712446,0.7362366275287554,Maryland,Maryland,4,0.7362366275287554,Colorado St,12,0.2637633724712446,8,,False
2,round_of_32,3,Drake,11,Texas Tech,3,0.06960998793660697,0.930390012063393,Texas Tech,Texas Tech,3,0.930390012063393,Drake,11,0.06960998793660697,8,,False
2,round_of_32,4,Arkansas,10,St Johns,2,0.6482441290652311,0.3517558709347689,Arkansas,St Johns,2,0.3517558709347689,Arkansas,10,0.6482441290652311,8,strong,True
3,sweet_sixteen,1,Florida,1,Maryland,4,0.9943653795767481,0.005634620423251913,Florida,Florida,1,0.9943653795767481,Maryland,4,0.005634620423251913,3,,False
3,sweet_sixteen,2,Texas Tech,3,Arkansas,10,0.7682283946427938,0.2317716053572062,Texas Tech,Texas Tech,3,0.7682283946427938,Arkansas,10,0.2317716053572062,7,,False
4,elite_eight,1,Florida,1,Texas Tech,3,0.9869005376989641,0.013099462301035869,Florida,Florida,1,0.9869005376989641,Texas Tech,3,0.013099462301035869,2,,False
5,final_four,1,Auburn,1,Florida,1,0.05034961172925487,0.9496503882707451,Florida,,1,0.9496503882707451,,1,0.0,0,same_seed,False
5,final_four,1,Alabama,2,Houston,1,0.39361765366946166,0.6063823463305383,Houston,Houston,1,0.6063823463305383,Alabama,2,0.39361765366946166,1,live,True
6,championship,1,Florida,1,Houston,1,0.9166773394731871,0.08332266052681292,Florida,,1,0.9166773394731871,,1,0.0,0,same_seed,False
