team,Seas_Opp_Turnover
CS Fullerton,11.0
Brown,11.0
CS Northridge,11.0
N Arizona,11.0
Creighton,11.0
Coastal Car,11.0
Toledo,10.9
Stetson,10.9
UL Monroe,10.9
N Kentucky,10.8
Florida Atlantic,10.8
Utah St,10.8
Miami,10.8
Pittsburgh,10.8
Weber St,10.8
Milwaukee,10.8
Seattle,10.8
Duquesne,10.8
S Utah,10.8
Bryant,10.7
Kennesaw St,10.7
Indiana,10.7
Idaho,10.7
Wyoming,10.7
Michigan St,10.7
UNLV,10.6
S Alabama,10.5
Virginia,10.5
Grand Canyon,10.5
Boston U,10.5
Furman,10.5
Ohio,10.4
Purdue FW,10.4
UCF,10.4
Delaware,10.3
Cal Poly,10.3
N Dakota St,10.2
C Connecticut,10.2
Pacific,10.1
Missouri St,10.1
Colgate,10.1
Columbia,10.1
Drake,10.0
Nevada,10.0
Presbyterian,10.0
Northeastern,9.9
Saint Mary's,9.7
NC State,9.7
UT Martin,9.7
Washington St,9.6
California,9.6
Wisconsin,9.6
Quinnipiac,9.5
The Citadel,9.5
Northwestern,9.5
Bucknell,9.4
Towson,9.3
Texas,8.9
