"year","team","year_team","seed","Finish","First_Rd","Second_Rd","Sweet_Sixteen","Elite_Eight","Final_Four","Championship","Pts","AdjEM","AdjO","AdjD","AdjT","Luck","Seas_PPG","Seas_Succ_3PT","Seas_3PT_Per","Seas_FT_Succ","Seas_3PT_Rate","Seas_Off_Rebound_Per","Seas_Def_Rebound_Per","Seas_Turnovers","Seas_Fouls","Seas_Opp_PPG","Seas_Opp_3PT_Succ","Seas_Opp_3PT_Rate","Seas_Opp_Off_Rebound","Seas_Opp_Def_Rebound","Seas_Opp_Turnover","Seas_Opp_Fouls","Seas_Poss"
"2023","Michigan St.","2023Michigan St.","7","3","1","1","0","0","0","0","3","16.71","113.4","96.7","64.9","0.015","70.2","0.32","0.395","0.762","0.331","0.239","0.764","10.9","16.5","67.4","0.315","0.383","0.236","0.761","9.7","16.0","67.8"
"2023","Missouri","2023Missouri","7","2","1","0","0","0","0","0","1","13.92","119.3","105.4","69.1","0.11","79.5","0.353","0.361","0.758","0.433","0.255","0.642","11.3","18.1","74.6","0.354","0.441","0.358","0.745","17.2","16.7","72.2"
"2023","Northwestern","2023Northwestern","7","2","1","0","0","0","0","0","1","14.83","108.5","93.7","64.9","0.033","67.7","0.339","0.321","0.751","0.411","0.267","0.76","9.8","16.2","62.5","0.339","0.424","0.24","0.733","14.3","16.6","67.4"
"2023","Texas A&M","2023Texas A&M","7","1","0","0","0","0","0","0","0","18.28","114.5","96.2","66.2","0.042","73.2","0.249","0.328","0.759","0.337","0.357","0.719","12.3","18.3","66.2","0.323","0.459","0.281","0.643","14.2","20.2","68.9"
"2023","Arkansas","2023Arkansas","8","3","1","1","0","0","0","0","3","18.63","112.6","94.0","69.7","-0.072","74.4","0.205","0.317","0.69","0.282","0.289","0.747","12.9","19.1","67.4","0.306","0.301","0.253","0.711","14.3","18.8","72.0"
"2023","Iowa","2023Iowa","8","1","0","0","0","0","0","0","0","15.6","120.5","104.9","69.5","-0.042","80.2","0.302","0.344","0.739","0.374","0.303","0.741","9.9","14.7","74.4","0.366","0.322","0.259","0.697","13.0","18.1","71.8"
"2023","Maryland","2023Maryland","8","2","1","0","0","0","0","0","1","18.37","114.1","95.8","64.6","-0.039","70.4","0.292","0.33","0.739","0.375","0.288","0.747","10.5","15.8","63.2","0.322","0.316","0.253","0.712","11.9","18.2","66.0"
"2023","Memphis","2023Memphis","8","1","0","0","0","0","0","0","0","18.69","114.7","96.0","71.8","-0.037","79.8","0.231","0.356","0.747","0.288","0.288","0.698","13.5","18.4","71.9","0.308","0.429","0.302","0.712","15.4","18.7","75.2"
"2023","Auburn","2023Auburn","9","2","1","0","0","0","0","0","1","17.45","112.7","95.2","67.6","-0.029","72.7","0.268","0.314","0.702","0.354","0.313","0.693","12.5","19.2","67.1","0.288","0.342","0.307","0.687","13.3","17.7","70.6"
"2023","Florida Atlantic","2023Florida Atlantic","9","5","1","1","1","1","0","0","15","18.23","114.3","96.0","68.4","0.053","78.2","0.373","0.372","0.718","0.438","0.289","0.773","11.5","15.8","65.3","0.32","0.342","0.227","0.711","12.7","16.8","70.6"
"2023","Illinois","2023Illinois","9","1","0","0","0","0","0","0","0","16.48","112.2","95.7","69.4","-0.045","74.7","0.308","0.309","0.68","0.419","0.315","0.76","12.8","16.9","67.0","0.336","0.309","0.24","0.685","13.1","18.3","71.5"
"2023","West Virginia","2023West Virginia","9","1","0","0","0","0","0","0","0","19.14","117.1","98.0","68.9","-0.054","76.3","0.286","0.348","0.741","0.363","0.321","0.723","13.0","18.4","71.0","0.341","0.35","0.277","0.679","14.6","21.5","71.4"
"2023","Boise St.","2023Boise St.","10","1","0","0","0","0","0","0","0","17.13","111.0","93.8","66.5","0.013","71.7","0.323","0.36","0.739","0.379","0.249","0.784","11.3","16.5","64.7","0.31","0.374","0.216","0.751","12.0","16.8","69.0"
"2023","Penn St.","2023Penn St.","10","2","1","0","0","0","0","0","1","15.04","116.8","101.8","64.6","0.009","72.3","0.431","0.385","0.738","0.474","0.173","0.761","9.0","15.7","68.4","0.333","0.375","0.239","0.827","8.6","13.5","66.6"
"2023","USC","2023USC","10","1","0","0","0","0","0","0","0","15.63","113.1","97.5","68.1","0.018","72.8","0.267","0.345","0.744","0.33","0.267","0.702","12.5","17.2","67.3","0.334","0.373","0.298","0.733","12.5","17.7","70.7"
"2023","Utah St.","2023Utah St.","10","1","0","0","0","0","0","0","0","18.88","117.8","98.9","68.8","0.008","77.7","0.351","0.385","0.767","0.421","0.256","0.776","12.1","17.0","69.8","0.343","0.337","0.224","0.744","10.9","18.8","70.6"
"2023","Arizona St.","2023Arizona St.","11","1","0","0","0","0","0","0","0","12.38","107.6","95.2","68.4","0.069","70.3","0.32","0.314","0.689","0.395","0.273","0.706","11.8","18.5","67.7","0.336","0.391","0.294","0.727","14.4","18.1","71.9"
"2023","Mississippi St.","2023Mississippi St.","11","1","0","0","0","0","0","0","0","14.12","105.5","91.3","63.8","0.008","65.9","0.237","0.266","0.647","0.345","0.349","0.729","12.8","15.1","61.0","0.308","0.44","0.271","0.651","14.4","17.3","67.2"
"2023","N.C. State","2023N.C. State","11","1","0","0","0","0","0","0","0","13.31","113.9","100.6","69.1","0.03","78.2","0.323","0.349","0.72","0.376","0.294","0.76","9.5","17.4","70.8","0.322","0.335","0.24","0.706","13.4","15.8","71.6"
"2023","Nevada","2023Nevada","11","1","0","0","0","0","0","0","0","14.79","112.0","97.2","66.1","0.013","71.8","0.287","0.338","0.792","0.374","0.203","0.774","10.3","18.0","67.3","0.325","0.422","0.226","0.797","12.6","19.4","69.0"
"2023","Pittsburgh","2023Pittsburgh","11","2","1","0","0","0","0","0","1","11.27","115.1","103.8","67.3","0.03","76.1","0.363","0.36","0.761","0.441","0.281","0.734","11.2","16.2","70.5","0.335","0.397","0.266","0.719","11.4","17.8","69.6"
"2023","Providence","2023Providence","11","1","0","0","0","0","0","0","0","14.73","116.8","102.1","66.9","-0.01","78.1","0.256","0.351","0.745","0.316","0.328","0.757","11.8","15.0","71.3","0.339","0.339","0.243","0.672","11.8","18.3","71.4"
"2023","Charleston","2023Charleston","12","1","0","0","0","0","0","0","0","11.76","111.4","99.6","71.0","0.052","80.3","0.372","0.333","0.743","0.474","0.344","0.768","11.9","16.9","67.4","0.303","0.32","0.232","0.656","13.8","18.3","73.0"
"2023","Drake","2023Drake","12","1","0","0","0","0","0","0","0","12.51","109.8","97.3","66.4","0.026","73.8","0.311","0.367","0.771","0.363","0.233","0.802","10.5","14.9","64.4","0.312","0.384","0.198","0.767","12.0","17.1","69.3"
"2023","Oral Roberts","2023Oral Roberts","12","1","0","0","0","0","0","0","0","13.25","115.3","102.0","70.5","0.103","82.5","0.387","0.37","0.784","0.458","0.226","0.75","9.3","13.7","69.9","0.342","0.399","0.25","0.774","12.4","14.9","72.2"
"2023","VCU","2023VCU","12","1","0","0","0","0","0","0","0","13.15","107.2","94.0","68.0","0.017","71.4","0.256","0.347","0.697","0.328","0.268","0.731","13.4","16.3","62.9","0.323","0.341","0.269","0.732","16.5","19.7","70.0"
"2023","Furman","2023Furman","13","2","1","0","0","0","0","0","1","8.43","114.2","105.8","68.5","0.0","80.4","0.35","0.344","0.735","0.464","0.287","0.743","11.0","17.3","71.4","0.33","0.352","0.257","0.713","12.7","17.5","70.7"
"2023","Iona","2023Iona","13","1","0","0","0","0","0","0","0","11.71","110.9","99.1","68.9","-0.006","76.4","0.277","0.36","0.731","0.321","0.322","0.717","10.6","16.3","65.0","0.292","0.345","0.283","0.678","14.4","16.1","70.4"
"2023","Kent St.","2023Kent St.","13","1","0","0","0","0","0","0","0","11.9","108.3","96.4","68.1","0.019","75.7","0.306","0.332","0.723","0.386","0.293","0.732","11.4","19.5","66.3","0.309","0.407","0.268","0.707","15.7","18.9","71.5"
"2023","Louisiana","2023Louisiana","13","1","0","0","0","0","0","0","0","8.2","112.2","104.0","68.4","0.077","75.6","0.265","0.366","0.672","0.317","0.321","0.751","12.1","17.2","70.5","0.359","0.299","0.249","0.679","12.4","18.5","70.2"
"2023","Grand Canyon","2023Grand Canyon","14","1","0","0","0","0","0","0","0","5.99","112.3","106.3","65.2","0.042","72.3","0.346","0.376","0.715","0.408","0.279","0.729","12.2","18.5","68.7","0.32","0.328","0.271","0.721","10.0","18.2","68.5"
"2023","Kennesaw St.","2023Kennesaw St.","14","1","0","0","0","0","0","0","0","3.64","106.3","102.7","68.5","0.147","73.7","0.324","0.371","0.663","0.379","0.243","0.765","12.5","18.2","70.8","0.348","0.393","0.235","0.757","13.7","19.3","71.7"
"2023","Montana St.","2023Montana St.","14","1","0","0","0","0","0","0","0","5.75","105.4","99.6","66.5","0.082","71.0","0.235","0.32","0.763","0.333","0.239","0.769","11.9","18.7","66.9","0.349","0.342","0.231","0.761","13.5","20.7","68.9"
"2023","UC Santa Barbara","2023UC Santa Barbara","14","1","0","0","0","0","0","0","0","6.64","111.3","104.7","65.0","0.057","71.8","0.228","0.351","0.737","0.29","0.248","0.774","11.1","16.2","65.8","0.345","0.311","0.226","0.752","12.3","17.7","67.1"
"2023","Colgate","2023Colgate","15","1","0","0","0","0","0","0","0","5.29","113.0","107.7","67.9","0.004","78.2","0.315","0.409","0.659","0.348","0.228","0.776","10.2","12.6","69.2","0.349","0.369","0.224","0.772","12.0","14.9","69.2"
"2023","Princeton","2023Princeton","15","3","1","1","0","0","0","0","3","5.57","109.1","103.5","67.5","0.024","75.0","0.325","0.34","0.713","0.407","0.264","0.782","11.7","16.0","68.9","0.331","0.326","0.218","0.736","10.0","18.4","70.6"
"2023","Vermont","2023Vermont","15","1","0","0","0","0","0","0","0","5.42","109.8","104.4","64.6","0.051","72.2","0.361","0.362","0.703","0.433","0.178","0.789","9.3","14.9","66.7","0.346","0.361","0.211","0.822","11.2","15.5","67.1"
"2023","Fairleigh Dickinson","2023Fairleigh Dickinson","16","2","1","0","0","0","0","0","1","-12.25","106.2","118.4","68.8","0.017","76.3","0.308","0.344","0.75","0.37","0.298","0.729","11.4","19.1","76.0","0.369","0.401","0.271","0.702","15.0","15.9","71.5"
"2023","Howard","2023Howard","16","1","0","0","0","0","0","0","0","-3.21","103.7","106.9","69.0","0.096","73.6","0.316","0.372","0.716","0.361","0.32","0.714","16.2","17.5","72.6","0.336","0.371","0.286","0.68","14.8","17.1","73.2"
"2023","Northern Kentucky","2023Northern Kentucky","16","1","0","0","0","0","0","0","0","0.52","103.3","102.8","62.0","0.053","67.2","0.361","0.352","0.704","0.407","0.304","0.698","11.3","15.6","64.7","0.367","0.389","0.302","0.696","14.9","15.6","65.8"
"2023","Southeast Missouri St.?","2023Southeast Missouri St.?","16","1","0","0","0","0","0","0","0","-7.21","100.9","108.1","72.5","0.026","65.0","0.362","0.328","0.626","0.431","0.315","0.757","12.2","15.8","63.7","0.326","0.391","0.243","0.685","11.8","14.1","65.0"
"2023","Texas A&M Corpus Chris?","2023Texas A&M Corpus Chris?","16","1","0","0","0","0","0","0","0","-0.23","107.4","107.6","69.3","0.019","78.3","0.297","0.369","0.8","0.349","0.304","0.729","12.8","19.5","72.9","0.333","0.411","0.271","0.696","14.9","18.7","72.6"
"2023","Texas Southern","2023Texas Southern","16","1","0","0","0","0","0","0","0","-9.71","96.5","106.2","69.4","0.025","67.9","0.213","0.291","0.66","0.281","0.273","0.736","14.7","19.0","72.9","0.333","0.348","0.264","0.727","13.3","18.9","73.7"
"2023","UNC Asheville","2023UNC Asheville","16","1","0","0","0","0","0","0","0","1.51","104.1","102.6","68.5","0.152","73.0","0.317","0.388","0.693","0.372","0.233","0.74","13.9","15.6","69.3","0.305","0.34","0.26","0.767","12.5","20.3","71.3"
