source,raw_team,normalized_team,canonical_team,match_method,year
games,Xavier,xavier,Xavier,season_exact,2017
games,Florida St,florida st,Florida St,season_exact,2017
games,FGCU,fgcu,Florida Gulf Coast,global_alias,2017
games,Saint Mary's,st marys,St Marys,global_alias,2017
games,VCU,vcu,VCU,season_exact,2017
games,Arizona,arizona,Arizona,season_exact,2017
games,North Dakota,north dakota,North Dakota,season_exact,2017
games,Kentucky,kentucky,Kentucky,season_exact,2017
games,Butler,butler,Butler,season_exact,2017
games,UCLA,ucla,UCLA,season_exact,2017
games,Arkansas,arkansas,Arkansas,season_exact,2017
games,MTSU,mtsu,Middle Tennessee St,global_alias,2017
games,Cincinnati,cincinnati,Cincinnati,season_exact,2017
games,Wichita St,wichita st,Wichita St,season_exact,2017
games,Texas Southern,texas southern,Texas Southern,season_exact,2017
games,Seton Hall,seton hall,Seton Hall,season_exact,2017
games,Minnesota,minnesota,Minnesota,season_exact,2017
games,Winthrop,winthrop,Winthrop,season_exact,2017
games,Kansas St,kansas st,Kansas St,season_exact,2017
games,Kent State,kent state,Kent St,season_fuzzy,2017
games,Dayton,dayton,Dayton,season_exact,2017
games,N Kentucky,n kentucky,Northern Kentucky,global_alias,2017
games,GONZ,gonz,Gonzaga,abbreviation_alias,2017
games,UNC,unc,North Carolina,global_alias,2017
games,Virginia,virginia,Virginia,season_exact,2018
games,UMBC,umbc,UMBC,season_exact,2018
games,Creighton,creighton,Creighton,season_exact,2018
games,Kansas St,kansas st,Kansas St,season_exact,2018
games,Kentucky,kentucky,Kentucky,season_exact,2018
games,Davidson,davidson,Davidson,season_exact,2018
games,Arizona,arizona,Arizona,season_exact,2018
games,Buffalo,buffalo,Buffalo,season_exact,2018
games,Miami,miami,Miami,global_alias,2018
games,Loyola Chicago,loyola chicago,Loyola Chicago,season_exact,2018
games,Tennessee,tennessee,Tennessee,season_exact,2018
games,Wright St,wright st,Wright St,season_exact,2018
games,Nevada,nevada,Nevada,season_exact,2018
games,Texas,texas,Texas,season_exact,2018
games,Cincinnati,cincinnati,Cincinnati,season_exact,2018
games,Georgia St,georgia st,Georgia St,season_exact,2018
games,Villanova,villanova,Villanova,season_exact,2018
games,Texas Tech,texas tech,Texas Tech,season_exact,2018
games,West Virginia,west virginia,West Virginia,season_exact,2018
games,Purdue,purdue,Purdue,season_exact,2018
games,Alabama,alabama,Alabama,season_exact,2018
games,Marshall,marshall,Marshall,season_exact,2018
games,Florida,florida,Florida,season_exact,2018
games,Butler,butler,Butler,season_exact,2018
games,Radford,radford,Radford,season_exact,2018
games,Virginia Tech,virginia tech,Virginia Tech,season_exact,2018
games,Murray St,murray st,Murray St,season_exact,2018
games,Wichita St,wichita st,Wichita St,season_exact,2018
games,St Bonaventure,st bonaventure,St Bonaventure,season_exact,2018
games,SF Austin,stephen f austin,Stephen F Austin,global_alias,2018
games,Arkansas,arkansas,Arkansas,season_exact,2018
games,Fullerton,fullerton,Cal St Fullerton,global_alias,2018
games,Michigan,michigan,Michigan,season_exact,2018
games,Kansas,kansas,Kansas,season_exact,2018
games,Xavier,xavier,Xavier,season_exact,2018
games,Texas Southern,texas southern,Texas Southern,season_exact,2018
games,Missouri,missouri,Missouri,season_exact,2018
games,Florida St,florida st,Florida St,season_exact,2018
games,Ohio State,ohio state,Ohio St,global_alias,2018
games,S Dakota St,south dakota st,South Dakota St,global_alias,2018
games,Gonzaga,gonzaga,Gonzaga,season_exact,2018
games,UNC Greensboro,unc greensboro,UNC Greensboro,season_exact,2018
games,Houston,houston,Houston,season_exact,2018
games,San Diego St,san diego st,San Diego St,global_alias,2018
games,Montana,montana,Montana,season_exact,2018
games,Texas A&M,texas a and m,Texas A&M,season_exact,2018
games,Providence,providence,Providence,season_exact,2018
games,North Carolina,north carolina,North Carolina,global_alias,2018
games,Lipscomb,lipscomb,Lipscomb,season_exact,2018
games,Duke,duke,Duke,season_exact,2018
games,Clemson,clemson,Clemson,season_exact,2018
games,Syracuse,syracuse,Syracuse,season_exact,2018
games,Seton Hall,seton hall,Seton Hall,season_exact,2018
games,Auburn,auburn,Auburn,season_exact,2018
games,Michigan St,michigan st,Michigan St,global_alias,2018
games,Rhode Island,rhode island,Rhode Island,season_exact,2018
games,Penn,penn,Pennsylvania,global_alias,2018
games,NC State,nc state,NC State,season_exact,2018
games,New Mexico St,new mexico st,New Mexico St,season_exact,2018
games,Charleston,charleston,College of Charleston,global_alias,2018
games,TCU,tcu,TCU,season_exact,2018
games,Bucknell,bucknell,Bucknell,season_exact,2018
games,Oklahoma,oklahoma,Oklahoma,season_exact,2018
games,Iona,iona,Iona,season_exact,2018
games,MICH,mich,Michigan,abbreviation_alias,2018
games,VILL,vill,Villanova,abbreviation_alias,2018
games,Duke,duke,Duke,season_exact,2019
games,N Dakota St,north dakota st,North Dakota St,global_alias,2019
games,VCU,vcu,VCU,season_exact,2019
games,UCF,ucf,Central Florida,abbreviation_alias,2019
games,Mississippi St,mississippi st,Mississippi St,global_alias,2019
games,Liberty,liberty,Liberty,season_exact,2019
games,Virginia Tech,virginia tech,Virginia Tech,season_exact,2019
games,Saint Louis,st louis,St Louis,season_exact,2019
games,Maryland,maryland,Maryland,season_exact,2019
games,Belmont,belmont,Belmont,season_exact,2019
