year,team,year_team,seed,Finish,First_Rd,Second_Rd,Sweet_Sixteen,Elite_Eight,Final_Four,Championship,Pts,AdjEM,AdjO,AdjD,AdjT,Luck,Seas_PPG,Seas_Succ_3PT,Seas_3PT_Per,Seas_FT_Succ,Seas_3PT_Rate,Seas_Off_Rebound_Per,Seas_Def_Rebound_Per,Seas_Turnovers,Seas_Fouls,Seas_Opp_PPG,Seas_Opp_3PT_Succ,Seas_Opp_3PT_Rate,Seas_Opp_Off_Rebound,Seas_Opp_Def_Rebound,Seas_Opp_Turnover,Seas_Opp_Fouls,Seas_Poss
2013,Miami,2013Miami,2,3,1,1,0,0,0,0,3,22.37,113.6,91.3,61.9,0.028,69.9,0.293,0.358,0.677,0.349,0.296,0.734,10.9,14.7,60.7,0.326,0.349,0.266,0.704,11.9,17.5,65.9
2013,Marquette,2013Marquette,3,4,1,1,1,0,0,0,7,18.32,113.2,94.9,63.3,0.09,69,0.185,0.301,0.723,0.269,0.362,0.683,13.6,16.9,62.7,0.318,0.355,0.317,0.638,12.9,19.1,66.3
2013,Syracuse,2013Syracuse,4,5,1,1,1,1,0,0,15,24.83,113.1,88.3,63.1,-0.004,71.3,0.255,0.334,0.675,0.311,0.386,0.676,12.7,16.2,60.1,0.298,0.398,0.324,0.614,15.5,18.1,68.1
2013,UNLV,2013UNLV,5,1,0,0,0,0,0,0,0,16.07,106,90,67.9,-0.015,71.1,0.274,0.327,0.706,0.347,0.324,0.747,14.1,16.9,63.6,0.313,0.321,0.253,0.676,12.8,18,70.7
2013,Butler,2013Butler,6,2,1,0,0,0,0,0,1,15.41,110.5,95.1,63.6,0.087,68.4,0.287,0.343,0.689,0.357,0.346,0.755,13.3,18,63.5,0.331,0.308,0.245,0.654,11.2,18.2,66.1
2013,Illinois,2013Illinois,7,2,1,0,0,0,0,0,1,15.82,110.6,94.8,64.6,0.042,68.6,0.336,0.323,0.722,0.412,0.322,0.68,11.5,18.2,65.4,0.344,0.348,0.32,0.678,14.5,16.4,67.3
2013,NC State,2013NC State,8,1,0,0,0,0,0,0,0,16.99,116.8,99.8,66.8,-0.032,77.5,0.205,0.393,0.683,0.237,0.334,0.689,12.4,15.3,70.1,0.299,0.322,0.311,0.666,11.6,18.4,70.5
2013,Harvard,2013Harvard,14,2,1,0,0,0,0,0,1,7.07,108.1,101.1,63.3,0.037,68.9,0.277,0.401,0.723,0.338,0.239,0.701,13.7,15.1,64.2,0.327,0.285,0.299,0.761,13.6,19.7,66
2013,La Salle,2013La Salle,13,3,1,1,0,0,0,0,3,13.89,111.8,98,64.6,0.051,72.4,0.315,0.371,0.738,0.357,0.281,0.688,11.7,15.3,66,0.299,0.244,0.312,0.719,14.9,15.9,68.9
2013,Florida Gulf Coast,2013Florida Gulf Coast,15,3,1,1,0,0,0,0,3,6.27,104.9,98.6,67.9,0.039,72.3,0.275,0.331,0.67,0.348,0.329,0.688,14.7,17.6,67.3,0.315,0.38,0.312,0.671,15.7,17.8,71.3
2013,Wichita St,2013Wichita St,9,5,1,1,1,1,0,0,15,20.31,111.8,91.5,63.8,-0.002,69.4,0.285,0.337,0.688,0.352,0.379,0.772,12.8,17.7,60.7,0.33,0.362,0.228,0.621,13.2,17.7,66.4
2013,North Carolina A&T,2013North Carolina A&T,16,1,0,0,0,0,0,0,0,-5.3,93.2,98.5,65.5,0.037,61.6,0.282,0.302,0.656,0.37,0.289,0.684,15.1,19.4,61.4,0.318,0.382,0.316,0.711,15.9,18.8,68.6
2013,Albany,2013Albany,15,1,0,0,0,0,0,0,0,1.36,102.6,101.3,61.7,0.082,64.4,0.279,0.364,0.734,0.33,0.291,0.728,13.4,16,60.3,0.331,0.349,0.272,0.709,12.6,19.1,64.6
2013,Valparaiso,2013Valparaiso,14,1,0,0,0,0,0,0,0,11.42,110.7,99.3,64.3,0.021,71.5,0.312,0.375,0.737,0.398,0.296,0.744,15,17.5,62.6,0.336,0.262,0.256,0.704,13,19.3,67.1
2013,New Mexico St,2013New Mexico St,13,1,0,0,0,0,0,0,0,7.68,104.7,97.1,63.8,0.039,68,0.176,0.326,0.658,0.237,0.358,0.723,14.4,15.2,62.8,0.338,0.298,0.277,0.642,12.3,20.5,67.1
2013,Oregon,2013Oregon,12,3,1,1,0,0,0,0,3,16.78,106.6,89.8,67.9,0.052,71.7,0.21,0.323,0.71,0.274,0.349,0.747,14.9,17.4,63.6,0.343,0.296,0.253,0.651,15.6,18.6,71.4
2013,St Marys,2013St Marys,11,1,0,0,0,0,0,0,0,19.33,116.1,96.8,62.9,0.023,74.9,0.314,0.373,0.73,0.381,0.36,0.762,11.9,17.5,63.3,0.369,0.288,0.238,0.64,11.5,17.8,65.9
2013,Cincinnati,2013Cincinnati,10,1,0,0,0,0,0,0,0,15.57,105.9,90.4,63,-0.012,66.6,0.307,0.317,0.649,0.373,0.38,0.72,12.8,17.7,58.8,0.3,0.302,0.28,0.62,13.2,18.3,67.4
2013,Missouri,2013Missouri,9,1,0,0,0,0,0,0,0,18.53,114.9,96.4,66.3,-0.032,76.2,0.248,0.34,0.739,0.313,0.393,0.74,13.2,16.5,66.2,0.329,0.351,0.26,0.607,12,17.9,70.4
2013,Southern,2013Southern,16,1,0,0,0,0,0,0,0,0.5,99.3,98.8,63.4,-0.031,66.6,0.298,0.364,0.688,0.344,0.242,0.714,11,17.4,58.4,0.296,0.301,0.286,0.758,13.3,17.3,67.1
2013,Iona,2013Iona,15,1,0,0,0,0,0,0,0,7.45,114.4,106.9,69.7,-0.07,80.7,0.312,0.373,0.778,0.364,0.315,0.678,12.2,17.1,75.8,0.373,0.353,0.322,0.685,14.1,17.2,73.7
